Amande (Prunus dulcis)
Arachide50 (Arachis hypogaea)
Arachide100 (Arachis hypogaea)
Arachide250 (Arachis hypogaea)
Basilic30
Basilic50
Caméline (Camelina sativa)
Carottes5
Carottes10
Carthame100 (Carthamus tinctorius)
Carthame250  (Carthamus tinctorius)
Chanvre50 (Cannabis sativa ssp. Sativa)
Chanvre100 (Cannabis sativa ssp. Sativa)
Chanvre250 (Cannabis sativa ssp. Sativa)
Colza100
Colza250
Laitue blanche50 (Lactuca sativa)
Laitue blanche100 (Lactuca sativa)
Lin50 (Linum usitatissimum)
Lin100 (Linum usitatissimum)
Lin250 (Linum usitatissimum)
Navette50 (Turnip rape)
Navette100 (Turnip rape)
Navette250 (Turnip rape)
Nigelle ou cumin noir50 (Nigella sativa)
Nigelle ou cumin noir100 (Nigella sativa)
Niger50 (Guizotia abyssinica) 
Niger100 (Guizotia abyssinica) 
Niger250 (Guizotia abyssinica) 
Noisette50 (Corylus avellana)
Noisette100 (Corylus avellana)
Noisette250 (Corylus avellana)
Noix commune50 (Juglans regia)
Noix commune100 (Juglans regia)
Noix commune250 (Juglans regia)
Noix tigrée ou souchet50 (Cyperus esculentus)
Noix tigrée ou souchet100 (Cyperus esculentus)
Sésame50 (Sesamum indicum)
Sésame100 (Sesamum indicum)
Sésame250 (Sesamum indicum)
Soja50 (Glycine max)
Soja100 (Glycine max)
